sampleid	temp	box	diet	P	larval period	w_46
#q2:types	categorical	categorical	categorical	categorical	numeric	numeric
003A3	20	1	A	3	35	0.34623
006M3	20	1	M	3	29	0.40205
009P3	20	1	P	3	32	0.383449
011A3	20	2	A	3	33	0.37045
012A3	20	2	A	3	32	0.32167
021A3	20	3	A	3	38	0.25383
023M3	20	3	M	3	46	0.20949
026P0	20	3	P	0	41	0.24045
027P3	20	3	P	3	31	0.26635
028A0	20	4	A	0	31	0.30406
030A3	20	4	A	3	32	0.35525
032M0	20	4	M	0	41	0.38994
035P3	20	4	P	3	32	0.40263
040M0	20	5	M	0	33	0.29485
042M3	20	5	M	3	30	0.31412
046A0	20	6	A	0	30	0.30111
053P3	20	6	P	3	31	0.28094
054P3	20	6	P	3	29	0.28303
055A0	20	7	A	0	28	0.40738
062P0	20	7	P	0	30	0.45284
063P3	20	7	P	3	31	0.30672
064A0	20	8	A	0	30	0.36584
066A3	20	8	A	3	30	0.2944
070P0	20	8	P	0	33	0.32388
075A3	20	9	A	3	33	0.38764
076M0	20	9	M	0	31	0.46118
081P3	20	9	P	3	36	0.15248
095M3	20	11	M	3	31	0.415878
097P0	20	11	P	0	34	0.27423
098P0	20	11	P	0	37	0.28489
100A0	20	12	A	0	32	0.37891
105M3	20	12	M	3	30	0.34391
106P0	20	12	P	0	31	0.22353
108P3	20	12	P	3	32	0.29421
110A0	20	13	A	0	31	0.27397
111A3	20	13	A	3	32	0.36879
112M0	20	13	M	0	32	0.34025
113M3	20	13	M	3	34	0.41192
118A0	20	14	A	0	31	0.36556
123M3	20	14	M	3	31	0.3884
124P0	20	14	P	0	31	0.29502
132M3	20	15	M	3	30	0.27537
139M0	20	16	M	0	29	0.35105
142P0	20	16	P	0	31	0.51816
145A0	14	17	A	0	80	0.32331
150M3	14	17	M	3	93	0.32613
151P0	14	17	P	0	81	0.33046
153P3	14	17	P	3	104	0.31414
157M0	14	18	M	0	71	0.44775
158M0	14	18	M	0	84	0.43377
160P0	14	18	P	0	85	0.34439
168M3	14	19	M	3	75	0.39868
169P0	14	19	P	0	94	0.35274
170P0	14	19	P	0	75	0.25797
172A0	14	20	A	0	95	0.51297
173A3	14	20	A	3	112	0.30841
177M3	14	20	M	3	74	0.38751
179P3	14	20	P	3	79	0.2328
185M3	14	21	M	3	79	0.43589
188P0	14	21	P	0	69	0.30126
192A3	14	22	A	3	85	0.27678
193M0	14	22	M	0	78	0.36335
197P3	14	22	P	3	73	0.27812
207P3	14	23	P	3	85	0.3144
208A0	14	24	A	0	73	0.40669
213M3	14	24	M	3	81	0.42719
217A0	14	25	A	0	92	0.25977
218A0	14	25	A	0	62	0.29975
219A3	14	25	A	3	80	0.40058
222M3	14	25	M	3	64	0.31644
229M0	14	26	M	0	70	0.49216
237A3	14	27	A	3	86	0.33652
240M3	14	27	M	3	70	0.29859
250P0	14	28	P	0	81	0.28724
251P3	14	28	P	3	59	0.26938
261P3	14	29	P	3	68	0.29315
262A0	14	30	A	0	70	0.30777
263A3	14	30	A	3	57	0.3406
264A3	14	30	A	3	72	0.373333
265M0	14	30	M	0	86	0.21676
267M3	14	30	M	3	63	0.38869
269P3	14	30	P	3	61	0.32866
270P3	14	30	P	3	64	0.35558
271A0	14	31	A	0	71	0.46303
273A3	14	31	A	3	58	0.34116
274M0	14	31	M	0	65	0.41638
278P0	14	31	P	0	78	0.34575
280A0	14	32	A	0	52	0.29127
282A3	14	32	A	3	58	0.40748
283M0	14	32	M	0	50	0.30808
286P0	14	32	P	0	68	0.31631
